"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $234.27/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode"
"0x3b1aa4a3328cf665ecc909be9510e40679e1bc583cbdcca4743885392153e41f","2366453","1475413256","2016-10-02 13:00:56","0xd0a7997dc01f8749db5a1c2cf0e5dfb7710651bb","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","1.16","0","271.7532","0.001760503917482772","0.412433252748689","13.23","","",""
"0x39335c4fcc8f4fdc4bfdc0e8d983eb6fbaae9c4077a65c5d62af2021f18f4d8b","2366453","1475413256","2016-10-02 13:00:56","0x4525b912c75ea88ef45ddd921d7d0b56534ef273","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","99.9","0","23403.573","0.001910798069052","0.447642663636812","13.23","","",""
"0xc0831cd37817d6e6bbe143ac69a39380a7aec685688d5648e539d31c14f05cd4","2366453","1475413256","2016-10-02 13:00:56","0xa0d0ace8238fdddfdfe99e1b4ffa5b1a9e632d2a","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","99.9","0","23403.573","0.001910798069052","0.447642663636812","13.23","","",""
"0x23d28fad7c1584c26ce924f807bf6cd7117b72045b104a3c9d66aa6064fab748","2366455","1475413270","2016-10-02 13:01:10","0x7ac20090143bb5e233fa9a7d883dd876d7dfc964","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","150","0","35140.5","0.001961635860201","0.459552432969288","13.23","","",""
"0xd1cb5628fdf46b64b001afe17c7ebfea79e5d3a80ca062c94659713c89433acd","2366455","1475413270","2016-10-02 13:01:10","0xd75f332ebded56cca6ba35f75423ddd9e20e76b7","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","224.1","0","52499.907","0.001961635860201","0.459552432969288","13.23","","",""
"0x781ed65ac7cf1ab536487d5cda378cf628e1456a4671b9ea767d813813c10291","2366455","1475413270","2016-10-02 13:01:10","0x181f837108079f52466d749bfb111307bfda3dd4","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","135","0","31626.45","0.001910798069052","0.447642663636812","13.23","","",""
"0x853032f15ada71ca0aa39de690937e8c8ab7edb25930b9b3812d31422381caa4","2366455","1475413270","2016-10-02 13:01:10","0x77713d24fb7bcc33c3a2a0a9da75685954cff79d","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","209","0","48962.43","0.001910798069052","0.447642663636812","13.23","","",""
"0x876de07bb8dd491021f58887b4c7e85878503e933d8aee89f7fbdc6d2ec2b4c4","2366455","1475413270","2016-10-02 13:01:10","0x012b03f8ab43097fe2a2cab54cfab04e5e201dc7","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","46.4","0","10870.128","0.001760503917482772","0.412433252748689","13.23","","",""
"0x9007c88d4da80df39af1d5a459bdf068626f397db9cc5b88f1116feec1acd258","2366455","1475413270","2016-10-02 13:01:10","0xeef23191845ab8760bcde5933d110a1ff716f046","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","1","0","234.27","0.001910798069052","0.447642663636812","13.23","","",""
"0x99af4e5dbdd2913d732f6c36d8834eb260af4918c4044597387f0a8261b87718","2366455","1475413270","2016-10-02 13:01:10","0x21eea4cb459b17291d1a53eafed814d47770a0b6","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","499","0","116900.73","0.001910798069052","0.447642663636812","13.23","","",""
