"HolderAddress","Balance","PendingBalanceUpdate"
"0xc96d9AD2Fe983D4370e1393f1117982fBE693656","-150000","No"
"0x82307aD323eD6E7b06f532dfAcF74795Bb031f68","10","No"
"0x03181D1eCC6Dbc45F9b1c5987F297Ca6d552Dc53","-86196","No"
"0x81d6C32E64BE4d0fC0B66daFeB579DA2bAE052C2","-86196","No"
"0xC9b2a6873aF0A06A10082359b105db8F1BfC9A31","-21551","No"
"0x6DAFae73a20C6bF6e5547D610B056B8a131c322e","-11551","No"
"0x05f6420c360300797E588cA8d82733b40b780eb8","-2203533","No"
"0x98bDF0A47d4faa76dbc76f855d1abc4bff6f36cd","-595431","No"
"0xA2b4d9Cd6F7D6D90D8aA3623544C4341f638BDec","-862068","No"
"0xddF89A05DcD5c2c1963A3E3F29053ce2d9f42F10","-4220594","No"
"0x245f27796a44d7E3D30654eD62850ff09EE85656","0","No"
"0x99630Af54C2006Cc117497333D8e9FaFA4C73f12","-258620","No"
"0x9685c439eE22F1126f92a6dE5819177C190826a7","-43103","No"
"0x4fAa058B0f3eEAa5cF7a895C9629CadF2A45Cd89","76897","No"
"0x4775daF2FDC3b3c513eF2A6e07862C27F9D6f781","-187400","No"
"0x79d94aAE97baF2017c1cD39f3b406D60712d086F","-61600","No"
"0x023D662F16D07AC5f269165cb4538116239d8020","-430000","No"
"0xC525105234b0355A0A0E36Fce03dd22b2C69a736","-491000","No"
"0xE38cab6F620E598a081FdD7FCB08Ad57A049cBe1","-585202","No"
"0x01Fb27290cc4015bb3d0f5C281781E5B1Eb70361","-182326","No"
"0xfCf7F59c6dcD3853ca4b89647594Fad2085eaAE7","0","No"
"0x6CdC358A27977C0FA282591F9f75EB4639cE8Fcb","-9000","No"
"0x8051ae60891be4d0C4bb002b967927D614180d1A","-5311","No"
"0x7eBaB9385BdFF4985f07813F6f24129C0b3e16ee","1000","No"
"0x1BE5faf028204cC8a8Da411A5a229B9950F733d6","-80002","No"
"0x6b79B52d6C99AdBf247d459557a6cbAE20ffa3c4","-663792","No"
"0x99d9417F307cAE2E34806A305012D88F51639762","2","No"
"0xD5681A835cc017E17F4F0F7b2962E4dc49a332b5","-38789","No"
"0x3329B57b3825f7dCcecf5351F4BE36F66a977E8C","-38789","No"
"0x37Cb6Dbff29927Cb54C0CD95e1ed96B60aC0d41B","-800924","No"
"0xC85c33B13e8f2cCaCD321BAe12CA933D5186c79d","10","No"
"0x4Bdb8f39857147698dE2c545dBfA1a63562a7D73","-74928","No"
"0x40A0b2c1B4E30F27e21DF94e734671856b485966","0","No"
"0xcd39C1174C89CF83efF27e318c6C6397BDCC4313","-36000","No"
"0x6696E55E9FEEAE5fd5872bA62D36A802e96AC98E","45108","No"
"0xFd2fB4310bC79c1EFD0394a2364Dc8398a0A8732","-89410","No"
"0xb3794869Ac037A9BFD209E137A941e210f78434c","50590","No"
"0xFBb1b73C4f0BDa4f67dcA266ce6Ef42f520fBB98","32643304","No"
"0x503D06AEfEa17fB03f257498F4E33f75C9c1bDaF","-11310","No"
"0x5F22B0a90e129f337e7E16469f1Ce1f541606f18","-38662","No"
"0x94D9620d4B33B08922F12dDFB15c8D8B08597f5B","-286981","No"
"0x537bf75de19f3d229e3a9018EE1A23c0c9C7D39C","-2","No"
"0x328Bbd67259F17aE08BdBCFDFF98c3fDE051b884","-100000","No"
"0x690cE3D7EbFa846acaf1a9dDCDC0deEc91eE9fE8","0","No"
"0xF269089fB4E1D8E201207a89Eab8A0D1217b4A65","-12500","No"
"0xEA7c2372c471d0C379f7608639e180F9Ec95434A","0","No"
"0x9C1B2F0f8653dF1721C46d0bB8E7CB5f06ed84D2","-130154","No"
"0xd015037FE5A0C108c922cC876B5c9349be2583a6","0","No"
"0xE49087CFc95F7C216BEb91235498bd5A06E29E94","0","No"
"0x2f6d1dC0dc8dB6f6448FBAd98E69021577f9756B","0","No"
"0xDf3F0B626A53E8709Bf0BE8B31187f9e7e09c0b7","-224101","No"
"0x2B2cCbbF9F477485c576581737b675851Bad7Cdf","0","No"
"0x8A0B3a28333DBbf63d7572aD4Fc759E48A7e4aB4","-326291","No"
"0x3E9Fb636F38b26FB6Ecb43271e6eA47c64ef92a6","0","No"
"0xB4Aa01FE14C166e068a286BEd27d02cb02d3D4AC","-517","No"
"0xd7888e70F4636B97A63527c8F98e2E0f7BcFE6D0","-47413","No"
"0x9eFE052eAB631f7eF8fE12F27e3d445c797a7121","0","No"
"0x18b068ddFf7070d1cd47FBbBA02808B730c365D4","-162931","No"
"0xC923b912868146C3b7404Dd722DaBF21EDCD13A5","0","No"
"0x39284FF9eAAb5F7009E69BC782540401c94dD263","0","No"
"0xA3099d1Bf891b70de4fB0C62FEad2882464a6640","-86200","No"
"0x76D9a1df46A32E6aD07DAb9414b4094885a03bB9","-86200","No"
"0x1fBe438bdC7A40B7abeD8834D5FE89f47130224E","-802623","No"
"0x5E6Cd44F3DC573380Cf412dCF6545c139F303b12","-204166","No"
"0xf2B7f8eb458a5F965966BaC949d636c20bE8fC4B","0","No"
"0x8139400FF9e0C5D38E15c59CEF2dBD1352A956AC","0","No"
"0x139130177c2C98E3A934098560d4bA7e5cd37375","-100000","No"
"0x0317dD9920719281c17603a7407ec2d13f5e8a82","-1411911","No"
"0x06aFd533077D2860370e14F8cdE27aE419128B2F","0","No"
"0x221C053895407f4c2CCdf236C8e6BfC988f2cF8a","0","No"
"0x8921a37cA167d6B6C3430C0C15c5acB8fb602169","-58946","No"
"0x489654ef50Aef384413C09aBbC7C0aaE6640E000","0","No"
"0xc19B3109670AD3253bD8e91B06caFc879F62c923","-143001","No"
"0x3334a5498d6a94DC67a595472DfBA825afa1d3ce","0","No"
"0xDd906b579829Be3305953e2c1e60e2BB80369445","-10341","No"
"0x9702A224B8ee591cB6dFEF5777a560F66FC0D5DD","-10341","No"
"0xE2411593983eCAf8b5EdBDc12D3e09Bc02fd1D39","0","No"
